05-29 14:16:07.641  1690  4287 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 2 task=Task{ea86e2b #1703 type=standard A=10289:com.whatsapp.w4b U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.whatsapp.w4b
05-29 16:57:30.010  1690  5818 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{e798a16 #1720 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 16:57:54.781  1690  3402 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{e798a16 #1720 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 16:58:04.721  1690  5818 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{e798a16 #1720 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 16:59:34.501  1690  5558 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{e798a16 #1720 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 17:02:26.585  1690  5144 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{e798a16 #1720 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 17:02:28.710  1690  1805 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{e798a16 #1720 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 17:02:49.777  1690  5070 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{e798a16 #1720 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 17:04:19.228  1690  2366 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{44f76bc #1722 type=standard A=10277:com.facebook.katana U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.facebook.katana
05-29 17:04:24.828  1690  3011 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{b631454 #1723 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 17:04:25.660  1690  2366 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{b631454 #1723 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 17:04:36.142  1690  4320 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{b631454 #1723 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 17:04:38.220  1690  2366 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{b631454 #1723 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 17:05:05.935  1690  3030 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 6 task=Task{b886c53 #1724 type=standard A=10163:com.google.android.youtube U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.google.android.youtube
05-29 17:17:12.642  1690  1797 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 12 task=Task{b886c53 #1724 type=standard A=10163:com.google.android.youtube U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.google.android.youtube
05-29 17:17:19.893  1690  3402 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 6 task=Task{b886c53 #1724 type=standard A=10163:com.google.android.youtube U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.google.android.youtube
05-29 17:27:36.688  1690  2736 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 12 task=Task{b886c53 #1724 type=standard A=10163:com.google.android.youtube U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.google.android.youtube
05-29 17:28:43.589  1690  5144 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 2 task=Task{97a228e #1726 type=standard A=10289:com.whatsapp.w4b U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.whatsapp.w4b
05-29 17:29:00.337  1690  3402 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 2 task=Task{97a228e #1726 type=standard A=10289:com.whatsapp.w4b U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.whatsapp.w4b
05-29 17:29:00.583  1690  5144 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 2 task=Task{97a228e #1726 type=standard A=10289:com.whatsapp.w4b U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.whatsapp.w4b
05-29 17:29:41.435  1690  1806 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 6 task=Task{b886c53 #1724 type=standard A=10163:com.google.android.youtube U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.google.android.youtube
05-29 17:29:45.074  1690  4321 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 12 task=Task{b886c53 #1724 type=standard A=10163:com.google.android.youtube U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.google.android.youtube
05-29 17:29:48.509  1690  2048 D Boost   : hostingType=content provider, hostingName={com.miui.player/com.miui.player.content.SystemAdContentProvider}, callerPackage=com.miui.msa.global, isSystem=true, isBoostNeeded=false.
05-29 17:29:48.509  1690  2048 I ActivityManager: Start proc 3006:com.miui.player/u0a154 for content provider {com.miui.player/com.miui.player.content.SystemAdContentProvider} caller=com.miui.msa.global
05-29 17:29:48.564  1690  4313 I SmartPower.com.miui.player/10154(3006): died->background(11259641ms) R(process start ) adj=-10000.
05-29 17:29:48.649  1690  1797 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.miui.player/.ui.MusicBrowserActivity bnds=[863,1428][1036,1601] (has extras)} from uid 10145 from pid 15502 callingPackage com.miui.home
05-29 17:29:48.675  1690  1797 I SmartPower.com.miui.player/10154(3006): background->invisible(110ms) R(become foreground) adj=100.
05-29 17:29:48.677  1690  1797 I WindowManager: When perf version lower than 2.3, MiGTStub result: false, gameType: 1, packageName: com.miui.player
05-29 17:29:48.719  1690  5901 I ActivityTaskManager: The Process com.miui.player Already Exists in BG. So sending its PID: 3006
05-29 17:29:48.764  1690  4313 D CoreBackPreview: Window{8fce057 u0 Splash Screen com.miui.player}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@ac551ce, mPriority=0}
05-29 17:29:48.804  1690  2010 I SmartPower.com.miui.player/10154(3006): invisible->visible(130ms) R(become visible) adj=0.
05-29 17:29:48.812  1690  2010 I WindowManager: wms.showSurfaceRobustly mWin:Window{8fce057 u0 Splash Screen com.miui.player}
05-29 17:29:48.868  1690  2736 I UiModeManager: systemserver package:com.miui.player null
05-29 17:29:49.082  1690  5901 D PackageManager: set app component=ComponentInfo{com.miui.player/androidx.work.impl.background.systemjob.SystemJobService} enabled state: 1 from null,uid=10154,pid=3006
05-29 17:29:49.202  1690  2180 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~suvWlj8U4IZfEQWjcmPD0g==/com.miui.player-b3d-glyxRH5smOhiWujKng==/base.apk
05-29 17:29:49.492  1690  5901 I ActivityTaskManager: START u0 {cmp=com.miui.player/.ui.MusicActivity (has extras)} from uid 10154 from pid 3006 callingPackage com.miui.player
05-29 17:29:49.533  3006  3006 W Looper  : PerfMonitor looperActivity : package=com.miui.player/.ui.MusicBrowserActivity time=142ms latency=664ms  procState=-1  historyMsgCount=1 (msgIndex=1 wall=794ms seq=2 late=26ms h=android.app.ActivityThread$H w=110)
05-29 17:29:49.534  3006  3006 W Looper  : PerfMonitor looperActivity : package=com.miui.player/.ui.MusicBrowserActivity time=0ms latency=809ms  procState=-1  historyMsgCount=2 (msgIndex=1 wall=794ms seq=2 late=26ms h=android.app.ActivityThread$H w=110)
05-29 17:29:49.579  1690  5818 I ActivityTaskManager: The Process com.miui.player Already Exists in BG. So sending its PID: 3006
05-29 17:29:49.624  1690  2048 D Boost   : hostingType=service, hostingName={com.google.android.webview/org.chromium.android_webview.services.VariationsSeedServer}, callerPackage=com.miui.player, isSystem=true, isBoostNeeded=false.
05-29 17:29:49.625  1690  2048 I ActivityManager: Start proc 3361:com.google.android.webview:webview_service/u0a171 for service {com.google.android.webview/org.chromium.android_webview.services.VariationsSeedServer} caller=com.miui.player
05-29 17:29:49.688  1690  2048 D Boost   : hostingType=, hostingName={com.miui.player/org.chromium.content.app.SandboxedProcessService0:0}, callerPackage=com.miui.player, isSystem=true, isBoostNeeded=false.
05-29 17:29:49.689  1690  2048 I ActivityManager: Start proc 3382:com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0/u0i66 for  {com.miui.player/org.chromium.content.app.SandboxedProcessService0:0} caller=com.miui.player
05-29 17:29:50.096  1690  2048 D Boost   : hostingType=content provider, hostingName={com.android.camera/com.android.camera.external.mivi.MiviInfoContentProvider}, callerPackage=com.miui.player, isSystem=true, isBoostNeeded=false.
05-29 17:29:50.097  1690  2048 I ActivityManager: Start proc 3479:com.android.camera/u0a130 for content provider {com.android.camera/com.android.camera.external.mivi.MiviInfoContentProvider} caller=com.miui.player
05-29 17:29:50.302  3006  3006 W Activity: PerfMonitor: Slow Operation: Activity com.miui.player/.ui.MusicActivity onStart took 198ms
05-29 17:29:50.329  1690  2048 D Boost   : hostingType=service, hostingName={com.miui.player/com.miui.player.service.RemotePlayService}, callerPackage=com.miui.player, isSystem=true, isBoostNeeded=false.
05-29 17:29:50.329  1690  2048 I ActivityManager: Start proc 3536:com.miui.player:remote/u0a154 for service {com.miui.player/com.miui.player.service.RemotePlayService} caller=com.miui.player
05-29 17:29:50.369  3006  3006 I ForceDarkHelperStubImpl: setViewRootImplForceDark: false for com.miui.player.ui.MusicActivity@f0af2ca, reason: LightTheme
05-29 17:29:50.389  3006  3006 W Looper  : PerfMonitor looperActivity : package=com.miui.player/.ui.MusicActivity time=332ms latency=473ms  procState=-1  historyMsgCount=9
05-29 17:29:50.393  3006  3006 W Looper  : PerfMonitor looperActivity : package=com.miui.player/.ui.MusicActivity time=0ms latency=808ms  procState=-1  historyMsgCount=10
05-29 17:29:50.397  1690  3304 D CoreBackPreview: Window{9432f42 u0 com.miui.player/com.miui.player.ui.MusicActivity}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@c3f81bc, mPriority=0}
05-29 17:29:50.462  1690  4313 I SmartPower.com.miui.player:remote/10154(3536): died->invisible(28957317ms) R(process start ) adj=-10000.
05-29 17:29:50.548  1690  5901 D WindowManager: wms.Input focus has changed to Window{9432f42 u0 com.miui.player/com.miui.player.ui.MusicActivity} display=0 updateInputWindows = true
05-29 17:29:50.553  1690  2010 D WindowManager: wms.Update InputWindowHandle: 9432f42 com.miui.player/com.miui.player.ui.MusicActivity, frame=[0,0,0,0], touchableRegion=SkRegion((0,0,1080,2400)), scaleFactor=1.0, transform=null, windowToken=android.os.BinderProxy@30ce18d, isClone=false, visibal=true, focusable=true, changed=true
05-29 17:29:50.569  1690  5901 I UiModeManager: systemserver package:com.miui.player null
05-29 17:29:50.702  1690  4313 D WindowManager: wms.finishDrawingLocked: mDrawState=COMMIT_DRAW_PENDING Window{9432f42 u0 com.miui.player/com.miui.player.ui.MusicActivity} in Surface(name=com.miui.player/com.miui.player.ui.MusicActivity)/@0x643b5a
05-29 17:29:50.702  1690  4313 D MiuiFreeFormGesturePointerEventListener: finishDrawingWindow: topFullScreenWindow= Window{9432f42 u0 com.miui.player/com.miui.player.ui.MusicActivity}
05-29 17:29:50.711  1690  2010 I WindowManager: wms.showSurfaceRobustly mWin:Window{9432f42 u0 com.miui.player/com.miui.player.ui.MusicActivity}
05-29 17:29:50.717  1690  2010 D WindowManager: wms.Update InputWindowHandle: 9432f42 com.miui.player/com.miui.player.ui.MusicActivity, frame=[0,0,0,0], touchableRegion=SkRegion((0,0,1080,2400)), scaleFactor=1.0, transform=null, windowToken=android.os.BinderProxy@30ce18d, isClone=false, visibal=true, focusable=true, changed=true
05-29 17:29:50.718  1690  1797 D CoreBackPreview: Window{8fce057 u0 Splash Screen com.miui.player}: Setting back callback null
05-29 17:29:50.743  1690  2010 D WindowManager: wms.Update InputWindowHandle: 9432f42 com.miui.player/com.miui.player.ui.MusicActivity, frame=[0,0,0,0], touchableRegion=SkRegion((0,0,1080,2400)), scaleFactor=1.0, transform=null, windowToken=android.os.BinderProxy@30ce18d, isClone=false, visibal=true, focusable=true, changed=true
05-29 17:29:52.346  1690  4313 D CoreBackPreview: Window{5147b2e u0 com.miui.player}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@e6b0765, mPriority=0}
05-29 17:29:52.423  1690  3031 D WindowManager: wms.finishDrawingLocked: mDrawState=COMMIT_DRAW_PENDING Window{5147b2e u0 com.miui.player} in Surface(name=)/@0xc808c
05-29 17:29:52.425  1690  2010 I WindowManager: wms.showSurfaceRobustly mWin:Window{5147b2e u0 com.miui.player}
05-29 17:29:52.539  1690  3304 I PowerManagerServiceImpl: Acquire wakelock: SCREEN_BRIGHT_WAKE_LOCK        'WindowManager' ON_AFTER_RELEASE (uid=1000 pid=1690 pkg=android ws=WorkSource{10154 com.miui.player})
05-29 17:29:52.544  1690  2010 D WindowManager: wms.Update InputWindowHandle: 9432f42 com.miui.player/com.miui.player.ui.MusicActivity, frame=[0,0,0,0], touchableRegion=SkRegion((0,0,1080,2400)), scaleFactor=1.0, transform=null, windowToken=android.os.BinderProxy@30ce18d, isClone=false, visibal=true, focusable=true, changed=true
05-29 17:29:52.682  1690  1690 I NotificationService: Cannot find enqueued record for key: 0|android|0|com.android.server.wm.AlertWindowNotification - com.miui.player|1000
05-29 17:29:53.033  1690  4315 D PackageManager: set app component=ComponentInfo{com.miui.player/androidx.work.impl.background.systemalarm.RescheduleReceiver} enabled state: 1 from null,uid=10154,pid=3006
05-29 17:29:53.046  1690  2048 D Boost   : hostingType=service, hostingName={com.xiaomi.account/com.xiaomi.account.XiaomiAccountService}, callerPackage=com.miui.player, isSystem=true, isBoostNeeded=false.
05-29 17:29:53.046  1690  2048 I ActivityManager: Start proc 3821:com.xiaomi.account/u0a174 for service {com.xiaomi.account/com.xiaomi.account.XiaomiAccountService} caller=com.miui.player
05-29 17:29:54.810  1690  2048 D Boost   : hostingType=content provider, hostingName={com.android.providers.downloads/com.android.providers.downloads.DownloadProvider}, callerPackage=com.miui.player, isSystem=true, isBoostNeeded=false.
05-29 17:29:54.810  1690  2048 I ActivityManager: Start proc 3962:android.process.media/u0a80 for content provider {com.android.providers.downloads/com.android.providers.downloads.DownloadProvider} caller=com.miui.player
05-29 17:29:55.390  1690  5901 D PerfShielderService: com.miui.player|com.miui.player/com.miui.player.ui.MusicActivity|348|769173457236217|209|0|10
05-29 17:29:55.390  1690  5901 D PerfShielderService: com.miui.player|com.miui.player/com.miui.player.ui.MusicActivity|493|769174070306738|176|3|13
05-29 17:29:55.391  1690  4320 D PerfShielderService: com.miui.player|com.miui.player/com.miui.player.ui.MusicActivity|303|769174860350435|132|0|14
05-29 17:29:55.392  4322  4334 W MiuiPerfServiceClient: interceptAndQueuing:3006|com.miui.player|348|209|769173457236217|Slow main thread|10
05-29 17:29:55.392  4322  4334 W MiuiPerfServiceClient: interceptAndQueuing:3006|com.miui.player|493|176|769174070306738|Slow handle traversal|13
05-29 17:29:55.393  4322  4334 W MiuiPerfServiceClient: interceptAndQueuing:3006|com.miui.player|303|132|769174860350435|Slow main thread|14
05-29 17:29:55.422  1690  4320 I ActivityTaskManager: START u0 {flg=0x20000 cmp=com.miui.player/.playerui3.nowplaying.NowPlayingActivity3 (has extras)} from uid 10154 from pid 3006 callingPackage com.miui.player
05-29 17:29:55.448  1690  2010 D WindowManager: wms.Update InputWindowHandle: 9432f42 com.miui.player/com.miui.player.ui.MusicActivity, frame=[0,0,0,0], touchableRegion=SkRegion((0,0,1080,2400)), scaleFactor=1.0, transform=null, windowToken=android.os.BinderProxy@30ce18d, isClone=false, visibal=true, focusable=true, changed=true
05-29 17:29:55.521  1690  4320 I ActivityTaskManager: The Process com.miui.player Already Exists in BG. So sending its PID: 3006
05-29 17:29:55.929  3006  3006 I ForceDarkHelperStubImpl: setViewRootImplForceDark: false for com.miui.player.playerui3.nowplaying.NowPlayingActivity3@6b5293d, reason: LightTheme
05-29 17:29:55.933  1690  4315 D CoreBackPreview: Window{f6d8b62 u0 com.miui.player/com.miui.player.playerui3.nowplaying.NowPlayingActivity3}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@5a735b0, mPriority=0}
05-29 17:29:55.934  3006  3006 W Looper  : PerfMonitor looperActivity : package=com.miui.player/.playerui3.nowplaying.NowPlayingActivity3 time=0ms latency=400ms  procState=-1  historyMsgCount=28
05-29 17:29:55.968  1690  4320 D WindowManager: wms.Input focus has changed to Window{f6d8b62 u0 com.miui.player/com.miui.player.playerui3.nowplaying.NowPlayingActivity3} display=0 updateInputWindows = true
05-29 17:29:55.970  1690  2010 D WindowManager: wms.Update InputWindowHandle: f6d8b62 com.miui.player/com.miui.player.playerui3.nowplaying.NowPlayingActivity3, frame=[0,0,0,0], touchableRegion=SkRegion((0,0,1080,2400)), scaleFactor=1.0, transform=null, windowToken=android.os.BinderProxy@7749a2d, isClone=false, visibal=true, focusable=true, changed=true
05-29 17:29:56.010  1690  4320 D WindowManager: wms.finishDrawingLocked: mDrawState=COMMIT_DRAW_PENDING Window{f6d8b62 u0 com.miui.player/com.miui.player.playerui3.nowplaying.NowPlayingActivity3} in Surface(name=com.miui.player/com.miui.player.playerui3.nowplaying.NowPlayingActivity3)/@0x89a5d4f
05-29 17:29:56.010  1690  4320 D MiuiFreeFormGesturePointerEventListener: finishDrawingWindow: topFullScreenWindow= Window{f6d8b62 u0 com.miui.player/com.miui.player.playerui3.nowplaying.NowPlayingActivity3}
